run,subrun,event
19765,175,8761
19765,176,8803
19765,176,8847
19765,177,8855
19765,177,8863
19765,178,8903
19765,178,8936
19765,180,9002
19765,180,9049
19765,181,9056
19765,181,9058
19765,181,9062
19765,181,9072
19765,181,9074
19765,181,9076
19765,182,9112
19765,182,9134
19765,183,9188
19765,184,9201
19765,184,9204
19765,184,9214
19765,185,9271
19765,186,9326
19765,186,9349
19765,189,9453
19765,189,9460
19765,189,9472
19765,189,9474
19765,189,9476
19765,189,9483
19765,191,9564
19765,192,9623
19765,192,9642
19765,194,9711
19765,194,9723
19765,195,9786
19765,195,9800
19765,196,9823
19765,196,9831
19765,197,9877
19765,197,9893
19765,199,9980
19765,200,10001
19765,201,10078
19765,201,10084
19765,201,10088
19765,201,10094
19765,201,10095
19765,201,10097
19765,202,10110
19765,203,10154
19765,203,10178
19765,203,10198
19765,204,10232
19765,205,10256
19765,205,10263
19765,205,10268
19765,205,10293
19765,205,10296
19765,205,10299
19765,206,10308
19765,206,10324
19765,206,10341
19765,207,10365
19765,207,10386
19765,208,10420
19765,209,10479
19765,211,10565
19765,211,10578
19765,214,10709
19765,214,10723
19765,215,10757
19765,215,10775
19765,216,10822
19765,216,10840
19765,217,10892
19765,219,10978
19765,219,10980
19765,219,10991
19765,220,11006
19765,220,11041
19765,220,11045
19765,220,11046
19765,221,11056
19765,221,11066
19765,221,11075
19765,222,11103
19765,222,11109
19765,224,11217
19765,225,11290
19765,226,11301
19765,226,11327
19765,228,11419
19765,231,11566
19765,231,11592
19765,232,11631
19765,233,11668
19765,233,11670
19765,234,11716
19765,234,11725
19765,234,11740
19765,235,11765
19765,236,11818
19765,236,11842
19765,237,11862
19765,238,11919
19765,238,11932
19765,239,11996
19765,240,12006
19765,240,12027
19765,241,12083
19765,242,12144
19765,243,12183
19765,243,12185
19765,245,12277
19765,245,12281
19765,245,12284
19765,246,12305
19765,246,12326
19765,246,12331
19765,247,12359
19765,248,12406
19765,251,12552
19765,252,12631
19765,252,12636
19765,253,12653
19765,253,12659
19765,253,12665
19765,258,12909
19765,258,12923
19765,259,12956
19765,259,12993
19765,259,12998
19765,260,13013
19765,260,13020
19765,260,13022
19765,261,13063
19765,261,13080
19765,261,13087
19765,261,13096
19765,263,13166
19765,263,13177
19765,263,13179
19765,264,13203
19765,264,13211
19765,264,13216
19765,265,13259
19765,265,13263
19765,265,13275
19765,266,13310
19765,266,13315
19765,266,13331
19765,266,13336
19765,266,13345
19765,267,13372
19765,267,13375
19765,269,13454
19765,269,13465
19765,269,13500
19765,270,13522
19765,271,13588
19765,272,13622
19765,272,13626
19765,272,13635
19765,273,13661
19765,273,13676
19765,273,13692
19765,273,13694
19765,274,13710
19765,274,13719
19765,274,13733
19765,275,13751
19765,275,13752
19765,275,13782
19765,275,13789
19765,276,13825
19765,276,13831
19765,277,13870
19765,278,13927
19765,279,13977
19765,279,13985
19765,280,14008
19765,280,14012
19765,280,14025
19765,281,14053
19765,286,14318
19765,286,14324
19765,287,14353
19765,287,14386
19765,287,14388
19765,288,14435
19765,288,14447
19765,289,14465
19765,290,14531
19765,291,14555
19765,291,14600
19765,293,14665
19765,293,14667
19765,294,14738
19765,294,14750
19765,297,14856
19765,297,14888
19765,298,14905
19765,298,14925
19765,299,14989
19765,300,15011
19765,300,15035
19765,301,15079
19765,301,15087
19765,301,15096
19765,304,15223
19765,305,15257
19765,306,15306
19765,306,15308
19765,306,15312
19765,306,15345
19765,307,15352
19765,307,15369
19765,307,15400
19765,308,15418
19765,308,15422
19765,309,15474
19765,311,15563
19765,311,15590
19765,311,15597
19765,312,15611
19765,312,15614
19765,313,15695
19765,314,15705
19765,315,15773
19765,315,15786
19765,316,15824
19765,316,15837
19765,317,15866
19765,317,15880
